128up	1022
14-3-3epsilon	24401
14-3-3zeta	14795
140up	265
18SrRNA-Psi:CR41602	179861
18SrRNA-Psi:CR45861	117612
18w	134
26-29-p	10497
28SrRNA-Psi:CR40596	152652
28SrRNA-Psi:CR40741	834
28SrRNA-Psi:CR41609	310
28SrRNA-Psi:CR45848	203
28SrRNA-Psi:CR45851	247129
28SrRNA-Psi:CR45853	11
28SrRNA-Psi:CR45855	28096
28SrRNA-Psi:CR45859	169337
28SrRNA-Psi:CR45860	108
28SrRNA-Psi:CR45862	53615
2SrRNA-Psi:CR40677	0
2SrRNA-Psi:CR45850	0
2SrRNA-Psi:CR45858	0
2mit	98
312	301
4E-T	2503
5-HT1A	2
5-HT1B	0
5-HT2A	8
5-HT2B	1
5-HT7	5
5.8SrRNA-Psi:CR45849	0
5.8SrRNA-Psi:CR45854	0
5.8SrRNA-Psi:CR45857	0
5.8SrRNA-Psi:CR45863	0
5PtaseI	251
5SrRNA-Psi:CR33356	0
5SrRNA-Psi:CR33363	0
5SrRNA-Psi:CR33371	0
5SrRNA-Psi:CR33416	0
7B2	3
825-Oak	1
A16	670
AANAT1	33
AANATL2	1
AANATL3	3
AANATL4	0
AANATL5	1
AANATL6	0
AANATL7	9
ABCA	1363
ABCB7	1710
ABCD	2728
ACC	8577
ACXA	1
ACXB	2
ACXC	3
ACXD	4
ACXE	4
ADD1	1646
ADPS	2
AGBE	2149
AGO1	9182
AGO2	12806
AGO3	569
AIF	1254
AIMP1	653
AIMP2	939
AIMP3	562
ALiX	4513
AMPKalpha	912
AMPdeam	2705
AOX1	4329
AOX2	178
AOX3	3245
AOX4	9
AP-1-2beta	3811
AP-1gamma	3072
AP-1mu	1500
AP-1sigma	1248
AP-2alpha	3298
AP-2mu	1364
AP-2sigma	194
APC10	139
APC4	372
APC7	30
APP-BP1	566
AQP	3
ARY	0
ASPP	5
ATP6AP2	4827
ATP7	2242
ATP8A	505
ATP8B	17765
ATPCL	6225
ATPsynB	2285
ATPsynC	13897
ATPsynCF6	2552
ATPsynCF6L	0
ATPsynD	2441
ATPsynE	1747
ATPsynF	1689
ATPsynG	1722
ATPsynGL	0
ATPsynO	2531
ATPsynbeta	10514
ATPsynbetaL	392
ATPsyndelta	1879
ATPsynepsilonL	85
ATPsyngamma	9070
ATbp	157
Aasdh	492
Aatf	705
Abd-B	2
Abi	2287
Abl	230171
Abp1	2207
Ac13E	154
Ac3	895
Ac76E	168
Ac78C	2174
AcCoAS	2098
Acam	2
Acbp1	428
Acbp2	1
Acbp3	0
Acbp4	0
Acbp5	0
Acbp6	0
Ace	12
Acer	463
Acf	2917
Achl	23
Ack	1672
Ack-like	2881
Acn	2247
Acox57D-d	76
Acox57D-p	890
Acp1	0
Acp24A4	0
Acp26Aa	0
Acp26Ab	0
Acp29AB	1
Acp32CD	4
Acp33A	0
Acp36DE	2
Acp53C14a	0
Acp53C14b	0
Acp53C14c	2
Acp53Ea	0
Acp54A1	1
Acp62F	1
Acp63F	0
Acp65Aa	0
Acp76A	1
Acp95EF	0
Acp98AB	0
Acph-1	1422
Acsl	6787
Act42A	48043
Act57B	63
Act5C	117064
Act79B	28
Act87E	46
Act88F	24
Actbeta	15
Actn	1629
Actn3	0
Acyp	0
Acyp2	273
AdSL	553
AdSS	6071
Ada	234
Ada1-1	77
Ada1-2	232
Ada2a	281
Ada2b	944
Ada3	694
AdamTS-A	692
AdamTS-B	117
Adar	1813
Adat1	76
Adck	497
AdenoK	853
Adf1	832
Adgf-A	10895
Adgf-A2	63
Adgf-B	2
Adgf-C	3
Adgf-D	5
Adgf-E	0
Adh	4
Adhr	4
Adi1	666
AdipoR	2144
Adk1	151
Adk2	2619
Adk3	115
AdoR	12
Aduk	269
Ady43A	256
Aef1	1066
Afti	837
Ag5r	14
Ag5r2	1
AgmNAT	69
Agpat1	620
Agpat2	119
Agpat3	3683
Agpat4	89
Ahcy	3954
AhcyL1	2563
AhcyL2	1
Ak6	64
Akap200	22135
Akh	5
AkhR	2
Akt1	2944
AlaRS	8086
AlaRS-m	477
Aladin	599
Alas	720
Ald1	12003
Ald2	1
Aldh	5831
Aldh-III	2442
Aldh7A1	550
Alg-2	1111
Alg1	2093
Alg10	475
Alg11	1666
Alg14	110
Alg2	1022
Alg3	614
Alg9	947
Alh	1525
Alk	36
AlkB	127
Alp1	1
Alp10	3
Alp11	39
Alp12	2676
Alp13	0
Alp2	0
Alp4	210
Alp5	1
Alp6	13
Alp7	1
Alp8	1
Alp9	0
Alr	627
Als2	1040
Ama	831
Amacr	374
Amnionless	3
Amph	1071
Amt	82
Amun	2834
Amy-d	29
Amy-p	163
Amyrel	0
Ance	855
Ance-2	14
Ance-3	0
Ance-4	63
Ance-5	56
Andorra	0
Ank	9725
Ank2	26
Ankle2	2628
Anp	34
Ant2	3526
Antp	0
AnxB10	2619
AnxB11	1730
AnxB9	6968
Aos1	1440
Apc	7330
Apc2	754
ApepP	1404
Apf	88
Apl	818
Aplip1	28
Apoltp	547
Appl	71
Aprt	260
Aps	3935
Arc1	17391
Arc2	845
Arc42	1162
Archease	1031
Arf102F	865
Arf51F	3404
Arf79F	7292
ArfGAP1	1244
ArfGAP3	1915
Arfip	903
Arfrp1	289
ArgRS	1460
ArgRS-m	386
Argk	934
Argl	143
Arl1	658
Arl2	293
Arl4	931
Arl5	393
Arl6	1
Arl6IP1	1805
Arl8	1447
Arp1	2445
Arp10	531
Arp2	3658
Arp3	4537
Arp5	620
Arp53D	0
Arp6	1044
Arp8	923
Arpc1	7037
Arpc2	4576
Arpc3A	1233
Arpc3B	589
Arpc4	1132
Arpc5	1135
Arr1	0
Arr2	15
Ars2	3556
Art1	2010
Art2	0
Art3	664
Art4	1190
Art6	0
Art7	574
Art8	136
Art9	0
Arts	1938
Arv1	110
Asap	2260
Asator	360
Asciz	207
Ask1	2154
AsnRS	5202
AsnRS-m	127
AsnS	853
AspRS	5402
AspRS-m	3684
Asph	167
Ass	0
AstA	3
AstA-R1	11
AstA-R2	0
AstC	0
AstC-R1	0
AstC-R2	0
AstCC	0
Asx	2404
Atac1	320
Atac2	669
Atac3	595
Ate1	876
Atet	1448
Atf-2	239
Atf3	744
Atf6	1197
Atg1	2094
Atg10	59
Atg101	291
Atg12	76
Atg13	979
Atg14	899
Atg16	1661
Atg17	2273
Atg18a	1453
Atg18b	712
Atg2	2732
Atg3	576
Atg4a	1372
Atg4b	434
Atg5	491
